Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS, Group
1,Tampa Bay Lightning,Vincent Lecavalier\lecavvi01,CA,C,18,1998,2016,Rimouski (QMJHL),1212,421,528,949,-140,848,,,,,,,102.4,
2,Nashville Predators,David Legwand\legwada01,US,C,18,1998,2016,Plymouth (OHL),1136,228,390,618,7,551,,,,,,,59.8,
3,San Jose Sharks,Brad Stuart\stuarbr02,CA,D,18,1998,2016,Regina (WHL),1056,80,255,335,8,565,,,,,,,66,
4,Vancouver Canucks,Bryan Allen\allenbr01,CA,D,18,1998,2015,Oshawa (OHL),721,29,107,136,26,839,,,,,,,31.1,
5,Anaheim Ducks,Vitaly Vishnevski\vishnvi01,UA,D,18,1998,2008,Torpedo Yaroslavl 2 (Russia-2),552,16,52,68,-27,494,,,,,,,18.5,
6,Calgary Flames,Rico Fata\fatari01,CA,RW,18,1998,2007,London (OHL),230,27,36,63,-60,104,,,,,,,2.3,
7,New York Rangers,Manny Malhotra\malhoma01,CA,C,18,1998,2015,Guelph (OHL),991,116,179,295,-26,451,,,,,,,20.8,
8,Chicago Blackhawks,Mark Bell\bellma01,CA,C,18,1998,2012,Ottawa (OHL),450,87,95,182,-45,602,,,,,,,15.5,
9,New York Islanders,Mike Rupp\ruppmi01,US,C,18,1998,2014,Erie (OHL),610,54,45,99,-28,855,,,,,,,6.5,
10,Toronto Maple Leafs,Nik Antropov\antroni01,KZ,C,18,1998,2013,Torpedo Ust-Kamenogorsk (Russia-2),788,193,272,465,55,627,,,,,,,49.2,
11,Carolina Hurricanes,Jeff Heerema\heereje01,CA,RW,18,1998,2004,Sarnia (OHL),32,4,2,6,-7,6,,,,,,,0.3,
12,Colorado Avalanche,Alex Tanguay\tangual01,CA,LW,18,1998,2016,Halifax (QMJHL),1088,283,580,863,163,527,,,,,,,95.2,
13,Edmonton Oilers,Michael Henrich,CA,RW,,1998,,Barrie (OHL),,,,,,,,,,,,,,
14,Phoenix Coyotes,Patrick DesRochers\desropa01,CA,G,18,1998,2003,Sarnia (OHL),11,0,0,0,0,2,11,2,6,1,0.872,3.66,0.5,
15,Ottawa Senators,Mathieu Chouinard\chouima02,CA,G,18,1998,2004,Shawinigan (QMJHL),1,0,0,0,0,0,1,0,0,0,1,0,0,
16,Montreal Canadiens,Eric Chouinard\chouier01,US,LW,18,1998,2006,Quebec (QMJHL),90,11,11,22,-8,16,,,,,,,1.8,
17,Colorado Avalanche,Martin Skoula\skoulma01,CZ,D,18,1998,2010,Barrie (OHL),776,44,152,196,16,328,,,,,,,45,
18,Buffalo Sabres,Dmitri Kalinin\kalindm01,RU,D,18,1998,2009,Traktor Chelyabinsk (KHL),539,36,126,162,2,321,,,,,,,32,
19,Colorado Avalanche,Robyn Regehr\regehro01,BR,D,18,1998,2015,Kamloops (WHL),1089,36,163,199,30,972,,,,,,,52.3,
20,Colorado Avalanche,Scott Parker\parkesc01,US,RW,20,1998,2008,Kelowna (WHL),308,7,14,21,4,699,,,,,,,0.3,
21,Los Angeles Kings,Mathieu Biron\bironma02,CA,D,18,1998,2006,Shawinigan (QMJHL),253,12,32,44,-69,177,,,,,,,4.9,
22,Philadelphia Flyers,Simon Gagne\gagnesi01,CA,LW,18,1998,2015,Quebec (QMJHL),822,291,310,601,129,328,,,,,,,74.9,
