 
,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Atlanta Thrashers,Patrik Stefan\stefapa01,CZ,C,18,2007,Long Beach (IHL),455,64,124,188,-36,158,,,,,,,13.7
2,Vancouver Canucks,Daniel Sedin\sedinda01,SE,LW,18,2018,MoDo Ornskoldsvik (Sweden),1306,393,648,1041,147,546,,,,,,,123.1
3,Vancouver Canucks,Henrik Sedin\sedinhe01,SE,C,18,2018,MoDo Ornskoldsvik (Sweden),1330,240,830,1070,165,680,,,,,,,108.6
4,New York Rangers,Pavel Brendl\brendpa01,CZ,RW,18,2006,Calgary (WHL),78,11,11,22,1,16,,,,,,,2.3
5,New York Islanders,Tim Connolly\connoti01,US,C,18,2012,Erie (OHL),697,131,300,431,-55,300,,,,,,,36.7
6,Nashville Predators,Brian Finley\finlebr01,CA,G,18,2007,Barrie (OHL),4,0,0,0,0,0,4,0,2,0,.851,4.70,0.0
7,Washington Capitals,Kris Beech\beechkr01,CA,C,18,2008,Calgary (WHL),198,25,42,67,-37,113,,,,,,,4.1
8,New York Islanders,Taylor Pyatt\pyattta01,CA,LW,18,2014,Sudbury (OHL),859,140,140,280,-14,430,,,,,,,24.8
9,New York Rangers,Jamie Lundmark\lundmja01,CA,C,18,2010,Moose Jaw (WHL),295,40,59,99,-29,204,,,,,,,6.6
10,New York Islanders,Branislav Mezei\mezeibr01,SK,D,18,2008,Belleville (OHL),240,5,19,24,-14,311,,,,,,,5.1
11,Calgary Flames,Oleg Saprykin\sapryol01,RU,LW,18,2007,Seattle (WHL),325,55,82,137,-7,240,,,,,,,12.9
12,Florida Panthers,Denis Shvidki\shvidde01,UA,RW,18,2004,Barrie (OHL),76,11,14,25,-5,30,,,,,,,2.2
13,Edmonton Oilers,Jani Rita\ritaja01,FI,LW,18,2006,Jokerit Helsinki (KHL),66,9,5,14,-4,10,,,,,,,1.1
14,San Jose Sharks,Jeff Jillson\jillsje01,US,D,19,2006,Michigan (CCHA),140,9,32,41,-9,96,,,,,,,6.7
15,Phoenix Coyotes,Scott Kelman,CA,C,,,Seattle (WHL),,,,,,,,,,,,,
16,Carolina Hurricanes,David Tanabe\tanabda01,US,D,19,2008,Wisconsin (WCHA),449,30,84,114,-47,245,,,,,,,21.4
17,St. Louis Blues,Barret Jackman\jackmba01,CA,D,18,2016,Regina (WHL),876,29,157,186,54,1102,,,,,,,46.9
18,Pittsburgh Penguins,Konstantin Koltsov\koltsko01,BY,RW,18,2006,Cherepovets (KHL),144,12,26,38,-42,50,,,,,,,0.0
19,Phoenix Coyotes,Kirill Safronov\safroki01,RU,D,18,2003,St. Petersburg (KHL),35,2,2,4,-15,16,,,,,,,-0.1
20,Buffalo Sabres,Barrett Heisten\heistba01,US,LW,19,2002,U. of Maine (H-East),10,0,0,0,-4,2,,,,,,,-0.3
21,Boston Bruins,Nick Boynton\boyntni01,CA,D,20,2011,Ottawa (OHL),605,34,110,144,19,862,,,,,,,30.0
22,Philadelphia Flyers,Maxime Ouellet\ouellma01,CA,G,18,2006,Quebec (QMJHL),12,0,1,1,0,2,12,2,6,2,.903,3.08,2.0
23,Chicago Blackhawks,Steve McCarthy\mccarst01,CA,D,18,2008,Kootenay (WHL),302,17,38,55,-34,168,,,,,,,8.9
24,Toronto Maple Leafs,Luca Cereda,CH,C,,,Ambri-Piotta (Swiss),,,,,,,,,,,,,
25,Colorado Avalanche,Mikhail Kuleshov\kulesmi01,RU,LW,18,2004,Cherepovets (KHL),3,0,0,0,-1,0,,,,,,,-0.1
26,Ottawa Senators,Martin Havlat\havlama01,CZ,RW,18,2016,Trinec (Czech),790,242,352,594,78,404,,,,,,,70.6
27,New Jersey Devils,Ari Ahonen,FI,G,,,JYP HT Jyvaskyla Jr. (Finland-Jr.),,,,,,,,,,,,,
28,New York Islanders,Kristian Kudroc\kudrokr01,SK,D,18,2004,Michalovce (Slovakia-2),26,2,2,4,0,38,,,,,,,0.9
29,Washington Capitals,Michal Sivek\sivekmi01,CZ,C,18,2003,Poldi Kladno (Czech),38,3,3,6,-5,14,,,,,,,0.0
30,Atlanta Thrashers,Luke Sellars\sellalu01,CA,D,18,2002,Ottawa (OHL),1,0,0,0,0,2,,,,,,,0.0
31,Washington Capitals,Charlie Stephens\stephch01,CA,C/RW,18,2004,Guelph (OHL),8,0,2,2,-1,4,,,,,,,0.1
32,Dallas Stars,Michael Ryan\ryanmi01,US,C,19,2009,Bos. College High (High-MA),83,7,8,15,-15,34,,,,,,,0.0
33,Nashville Predators,Jonas Andersson\anderjo02,SE,RW,18,2011,AIK Solna Jr. (Sweden-2),9,0,0,0,-1,2,,,,,,,-0.2
34,Washington Capitals,Ross Lupaschuk\lupasro01,CA,D,18,2003,Prince Albert (WHL),3,0,0,0,-3,4,,,,,,,-0.2
35,Buffalo Sabres,Milan Bartovic\bartomi01,SK,RW,18,2006,Dukla Trencin Jr. (Slovak-Jr.),50,3,14,17,1,26,,,,,,,1.3
36,Edmonton Oilers,Alexei Semenov\semenal01,RU,D,18,2009,Sudbury (OHL),211,7,26,33,1,249,,,,,,,7.3
37,Washington Capitals,Nolan Yonkman\yonkmno01,CA,D,18,2014,Kelowna (WHL),76,1,9,10,7,140,,,,,,,2.2
38,Calgary Flames,Dan Cavanaugh,US,C,,,Boston University (H-East),,,,,,,,,,,,,
39,Montreal Canadiens,Alexander Buturlin,RU,RW,,,CSKA Moscow (Russia),,,,,,,,,,,,,
40,Florida Panthers,Alex Auld\auldal01,CA,G,18,2012,North Bay (OHL),237,0,7,7,0,12,237,91,88,32,.904,2.80,35.8
41,Edmonton Oilers,Tony Salmelainen\salmeto01,FI,LW,18,2007,HIFK Helsinki (Finland),70,6,12,18,-4,30,,,,,,,1.1
42,New Jersey Devils,Mike Commodore\commomi01,CA,D,19,2012,North Dakota (WCHA),484,23,83,106,-3,683,,,,,,,20.3
43,Los Angeles Kings,Andrei Shefer,RU,LW,,,Cherepovets (KHL),,,,,,,,,,,,,
44,Anaheim Ducks,Jordan Leopold\leopojo01,US,D,19,2015,Minnesota (WCHA),695,67,147,214,-37,293,,,,,,,43.5
45,Colorado Avalanche,Martin Grenier\grenima01,CA,D,18,2007,Quebec (QMJHL),18,1,0,1,-1,14,,,,,,,0.2
46,Chicago Blackhawks,Dimitri Levinski,KZ,LW,,,Cherepovets (KHL),,,,,,,,,,,,,
47,Tampa Bay Lightning,Sheldon Keefe\keefesh01,CA,RW,18,2003,Barrie (OHL),125,12,12,24,-25,78,,,,,,,0.9
48,Ottawa Senators,Simon Lajeunesse\lajeusi01,CA,G,18,2002,Moncton (QMJHL),1,0,0,0,0,0,1,0,0,0,1.000,0.00,0.2
49,Carolina Hurricanes,Brett Lysak\lysakbr01,CA,C,18,2004,Regina (WHL),2,0,0,0,0,2,,,,,,,0.0
50,New Jersey Devils,Brett Clouthier,CA,LW,,,Kingston (OHL),,,,,,,,,,,,,
51,Pittsburgh Penguins,Matt Murley\murlema01,US,LW,19,2008,RPI (ECAC),62,2,7,9,-14,38,,,,,,,-0.7
52,Nashville Predators,Adam Hall\hallad01,US,RW,19,2014,Michigan State (CCHA),682,69,87,156,-76,282,,,,,,,5.3
53,Phoenix Coyotes,Brad Ralph\ralphbr01,CA,LW,18,2001,Oshawa (OHL),1,0,0,0,0,0,,,,,,,0.0
54,Nashville Predators,Andrew Hutchinson\hutchan01,US,D,19,2011,Michigan State (CCHA),140,12,27,39,-13,70,,,,,,,5.9
55,Buffalo Sabres,Doug Janik\janikdo01,US,D,19,2012,U. of Maine (H-East),190,3,16,19,-19,154,,,,,,,3.1
56,Boston Bruins,Matt Zultek,CA,LW,,,Ottawa (OHL),,,,,,,,,,,,,
57,Pittsburgh Penguins,Jeremy Van Hoof\vanhoje01,CA,D,18,,Ottawa (OHL),,,,,,,,,,,,,
58,Montreal Canadiens,Matt Carkner\carknma01,CA,D,18,2014,Peterborough (OHL),237,4,23,27,-12,556,,,,,,,5.9
59,New York Rangers,David Inman,US,C,,,Notre Dame (CCHA),,,,,,,,,,,,,
