Overall,Team,Player,Nat.,Pos,Age,Start,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Columbus Blue Jackets,Rick Nash\nashri01,CA,LW,18,2002,2018,London (OHL),1060,437,368,805,-11,750,,,,,,,102.6
2,Atlanta Thrashers,Kari Lehtonen\lehtoka01,FI,G,18,2002,2018,Jokerit Helsinki (KHL),649,0,28,28,0,42,649,310,233,67,0.912,2.71,116
3,Florida Panthers,Jay Bouwmeester\bouwmja01,CA,D,18,2002,2020,Medicine Hat (WHL),1240,88,336,424,-17,635,,,,,,,83.1
4,Philadelphia Flyers,Joni Pitkanen\pitkajo01,FI,D,18,2002,2013,Karpat Oulu (Finland),535,57,225,282,-8,484,,,,,,,47.4
5,Pittsburgh Penguins,Ryan Whitney\whitnry01,US,D,19,2002,2014,Boston University (H-East),481,50,209,259,-30,383,,,,,,,39.3
6,Nashville Predators,Scottie Upshall\upshasc01,CA,LW,18,2002,2018,Kamloops (WHL),759,138,146,284,9,615,,,,,,,29.4
7,Anaheim Ducks,Joffrey Lupul\lupuljo01,CA,LW,18,2002,2016,Medicine Hat (WHL),701,205,215,420,-79,407,,,,,,,45.5
8,Minnesota Wild,Pierre-Marc Bouchard\bouchpi02,CA,C,18,2002,2014,Chicoutimi (QMJHL),593,110,246,356,6,190,,,,,,,36
9,Florida Panthers,Petr Taticek\taticpe01,CZ,C,18,2002,2006,Sault Ste. Marie (OHL),3,0,0,0,0,0,,,,,,,0
10,Calgary Flames,Eric Nystrom\nystrer01,US,LW,19,2002,2016,Michigan (CCHA),593,75,48,123,-73,401,,,,,,,5.6
11,Buffalo Sabres,Keith Ballard\ballake01,US,D,19,2002,2015,Minnesota (WCHA),604,38,137,175,-13,612,,,,,,,33
12,Washington Capitals,Steve Eminger\emingst01,CA,D,18,2002,2013,Kitchener (OHL),488,19,80,99,-42,359,,,,,,,16
13,Washington Capitals,Alexander Semin\seminal01,RU,LW,18,2002,2016,Chelyabinsk (Russia-2),650,239,278,517,71,582,,,,,,,65.5
14,Montreal Canadiens,Chris Higgins\higgich01,US,LW,19,2002,2016,Yale (ECAC),711,165,168,333,-30,220,,,,,,,32.7
15,Edmonton Oilers,Jesse Niinimaki\niinije01,FI,C,19,2002,,Ilves Tampere (Finland),,,,,,,,,,,,,
16,Ottawa Senators,Jakub Klepis\klepija01,CZ,C,18,2002,2007,Portland (WHL),66,4,10,14,-13,36,,,,,,,0.2
17,Washington Capitals,Boyd Gordon\gordobo01,CA,C,18,2002,2017,Red Deer (WHL),706,56,105,161,-26,149,,,,,,,5.2
18,Los Angeles Kings,Denis Grebeshkov\grebede01,RU,D,18,2002,2014,Lokomotiv Yaroslavl (KHL),234,17,68,85,-18,114,,,,,,,13.4
19,Phoenix Coyotes,Jakub Koreis\koreija01,CZ,C,18,2002,,Plzen (Czech),,,,,,,,,,,,,
20,Buffalo Sabres,Daniel Paille\paillda01,CA,LW,18,2002,2016,Guelph (OHL),582,85,87,172,15,135,,,,,,,15.6
21,Chicago Blackhawks,Anton Babchuk\babchan01,UA,D,18,2002,2013,Elektrostal (Russia-2),289,36,71,107,14,108,,,,,,,21.1
22,New York Islanders,Sean Bergenheim\bergese01,FI,LW,18,2002,2015,Jokerit Helsinki (KHL),506,96,84,180,-42,379,,,,,,,16.6
23,Phoenix Coyotes,Ben Eager\eagerbe01,CA,LW,18,2002,2014,Oshawa (OHL),407,43,42,85,-12,875,,,,,,,6.9
24,Toronto Maple Leafs,Alex Steen\steenal01,CA,C,18,2002,2020,Vastra Frolunda (Sweden),1018,245,377,622,42,454,,,,,,,64.7
25,Carolina Hurricanes,Cam Ward\wardca01,CA,G,18,2002,2019,Red Deer (WHL),701,1,12,13,0,48,701,334,256,88,0.908,2.74,113.8
