Overall,Team,Player,Nat.,Pos,Age,Start,End,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Toronto Maple Leafs,Auston Matthews\matthau01,US,C,18,2016,2022,Zurich (Swiss),407,259,198,457,78,74,,,,,,,61.1
2,Winnipeg Jets,Patrik Laine\lainepa01,FI,RW,18,2016,2022,Tappara (Finland),407,176,151,327,-36,163,,,,,,,37.4
3,Columbus Blue Jackets,Pierre-Luc Dubois\duboipi01,CA,LW,18,2016,2022,Cape Breton (QMJHL),361,102,137,239,8,306,,,,,,,24.6
4,Edmonton Oilers,Jesse Puljujarvi\puljuje01,SE,RW,18,2016,2022,Karpat (Finland),259,46,52,98,18,76,,,,,,,9
5,Vancouver Canucks,Olli Juolevi\juoleol01,FI,D,18,2016,2022,London (OHL),41,2,1,3,-2,6,,,,,,,0.8
6,Calgary Flames,Matthew Tkachuk\tkachma01,US,LW,18,2016,2022,London (OHL),431,152,230,382,85,425,,,,,,,44.5
7,Arizona Coyotes,Clayton Keller\kellecl01,US,C,18,2016,2022,USA U-18 (USHL),360,96,160,256,-39,122,,,,,,,24.9
8,Buffalo Sabres,Alexander Nylander\nylanal01,CA,LW,18,2016,2020,Mississauga (OHL),84,13,19,32,-11,14,,,,,,,2.4
9,Montreal Canadiens,Mikhail Sergachev\sergami01,RU,D,18,2016,2022,Windsor (OHL),362,36,138,174,50,213,,,,,,,28.8
10,Colorado Avalanche,Tyson Jost\jostty01,CA,C,18,2016,2022,Penticton (BCHL),342,47,62,109,10,120,,,,,,,8
11,Ottawa Senators,Logan Brown\brownlo01,US,C,18,2016,2022,Windsor (OHL),69,5,15,20,-5,14,,,,,,,1
12,New Jersey Devils,Michael McLeod\mcleomi01,CA,C,18,2016,2022,Mississauga (OHL),162,15,25,40,-29,111,,,,,,,0.9
13,Carolina Hurricanes,Jake Bean\beanja01,CA,D,18,2016,2022,Calgary (WHL),111,8,29,37,-7,38,,,,,,,5.5
14,Boston Bruins,Charles McAvoy\mcavoch01,US,D,18,2016,2022,Boston University (H-East),313,34,144,178,111,243,,,,,,,37
15,Minnesota Wild,Luke Kunin\kuninlu01,US,C,18,2016,2022,Wisconsin (Big Ten),251,46,47,93,-30,207,,,,,,,6.9
16,Arizona Coyotes,Jakob Chychrun\chychja01,US,D,18,2016,2022,Sarnia (OHL),337,53,89,142,-46,218,,,,,,,25.6
17,Nashville Predators,Dante Fabbro\fabbrda01,CA,D,18,2016,2022,Penticton (BCHL),174,11,37,48,4,85,,,,,,,8.7
18,Winnipeg Jets,Logan Stanley\stanllo01,CA,D,18,2016,2022,Windsor (OHL),95,2,15,17,14,70,,,,,,,4.1
19,New York Islanders,Kieffer Bellows\belloki01,US,LW,18,2016,2022,USA U-18 (USHL),67,11,14,25,2,25,,,,,,,2.6
20,Detroit Red Wings,Dennis Cholowski\cholode01,CA,D,18,2016,2022,Chilliwack (BCHL),115,10,20,30,-50,28,,,,,,,2.7
21,Carolina Hurricanes,Julien Gauthier\gauthju01,CA,RW,18,2016,2022,Val d'Or (QMJHL),96,5,13,18,-14,30,,,,,,,0.3
22,Philadelphia Flyers,German Rubtsov\rubtsge01,RU,C,18,2016,2020,Team Russia U18 (Russia-Jr.),4,0,0,0,-1,0,,,,,,,-0.1
23,Florida Panthers,Henrik Borgström\borgshe01,FI,C,19,2016,2022,HIFK Jr. (Finland-Jr.),110,13,13,26,-31,28,,,,,,,0.8
24,Anaheim Ducks,Max Jones\jonesma03,US,LW,18,2016,2022,London (OHL),137,17,11,28,-17,101,,,,,,,1.1
25,Dallas Stars,Riley Tufte\tufteri01,US,LW,18,2016,2022,Blaine (High-MN),10,1,0,1,0,4,,,,,,,0.1
26,St. Louis Blues,Tage Thompson\thompta01,US,C,18,2016,2022,Connecticut (H-East),223,56,47,103,-57,86,,,,,,,8.9
27,Tampa Bay Lightning,Brett Howden\howdebr01,CA,C,18,2016,2022,Moose Jaw (WHL),225,25,44,69,-20,65,,,,,,,3.5
28,Washington Capitals,Lucas Johansen\johanlu01,CA,D,18,2016,2022,Kelowna (WHL),1,0,1,1,1,0,,,,,,,0.2
29,Boston Bruins,Trent Frederic\fredetr01,US,C,18,2016,2022,USA U-18 (USHL),119,12,11,23,-3,137,,,,,,,1.3
30,Anaheim Ducks,Sam Steel\steelsa01,CA,C,18,2016,2022,Regina (WHL),197,24,41,65,-35,52,,,,,,,3.5
31,Toronto Maple Leafs,Yegor Korshkov\korsheg01,RU,RW,20,2016,2020,Yaroslavl (Russia),1,1,0,1,1,0,,,,,,,0.2
32,Edmonton Oilers,Tyler Benson\bensoty01,CA,LW,18,2016,2022,Vancouver (WHL),36,1,2,3,-6,18,,,,,,,-0.4
33,Buffalo Sabres,Rasmus Asplund\asplura01,SE,C,18,2016,2022,Farjestad (Sweden),137,16,25,41,-8,16,,,,,,,2.7
